department,job_level,country,I am proud to work for this company.,I would recommend this company as a great place to work.,I feel motivated to do my best every day.,I see myself still working here in two years.,My work gives me a sense of personal accomplishment.,I trust the decisions made by senior leadership.,Leaders communicate a clear vision for the future.,I feel well-informed about what is going on.,Senior leaders are visible and approachable.,Leadership lives the values of the company.,My manager treats me with respect.,My manager gives me regular and useful feedback.,My manager supports my professional development.,My manager communicates clearly and effectively.,My manager motivates me to do my best work.,My team works well together.,I feel supported by my colleagues.,There is a strong sense of trust within my team.,People on my team help each other succeed.,I feel like I belong on my team.,I have the tools and resources I need.,I understand what is expected of me.,I can make decisions that affect my work.,I have the autonomy I need to be effective.,I can be myself at work without fear.,I have access to learning and development opportunities.,I am satisfied with the career opportunities available.,My development is a priority for my manager.,I am encouraged to develop new skills.,I have a clear understanding of how to progress.,I feel valued for the work I do.,I receive recognition when I do good work.,My contributions are acknowledged by my manager.,I maintain a healthy work-life balance.,My workload is manageable.,The company cares about my wellbeing.,I feel comfortable taking time off.,I can talk openly about stress or mental health.,I feel treated fairly regardless of background.,Diverse perspectives are valued in my team.,I feel a sense of belonging.,The company fosters an inclusive environment.,The company adapts quickly to change.,I am comfortable with the pace of change.,Innovation is encouraged.,We can respond to future challenges.,Communication across departments is effective.,I know where to find needed information.,Feedback from employees is taken seriously.,Internal communications are clear and timely.,I am fairly compensated.,The benefits meet my needs.,My pay reflects my performance.,People here act with integrity.,The company lives its values.,performance_24,tenure_years,leaving_date,employee_status,Benchmark: I am proud to work for this company.,Benchmark: I would recommend this company as a great place to work.,Benchmark: I feel motivated to do my best every day.,Benchmark: I see myself still working here in two years.,Benchmark: My work gives me a sense of personal accomplishment.,Benchmark: I trust the decisions made by senior leadership.,Benchmark: Leaders communicate a clear vision for the future.,Benchmark: I feel well-informed about what is going on.,Benchmark: Senior leaders are visible and approachable.,Benchmark: Leadership lives the values of the company.,Benchmark: My manager treats me with respect.,Benchmark: My manager gives me regular and useful feedback.,Benchmark: My manager supports my professional development.,Benchmark: My manager communicates clearly and effectively.,Benchmark: My manager motivates me to do my best work.,Benchmark: My team works well together.,Benchmark: I feel supported by my colleagues.,Benchmark: There is a strong sense of trust within my team.,Benchmark: People on my team help each other succeed.,Benchmark: I feel like I belong on my team.,Benchmark: I have the tools and resources I need.,Benchmark: I understand what is expected of me.,Benchmark: I can make decisions that affect my work.,Benchmark: I have the autonomy I need to be effective.,Benchmark: I can be myself at work without fear.,Benchmark: I have access to learning and development opportunities.,Benchmark: I am satisfied with the career opportunities available.,Benchmark: My development is a priority for my manager.,Benchmark: I am encouraged to develop new skills.,Benchmark: I have a clear understanding of how to progress.,Benchmark: I feel valued for the work I do.,Benchmark: I receive recognition when I do good work.,Benchmark: My contributions are acknowledged by my manager.,Benchmark: I maintain a healthy work-life balance.,Benchmark: My workload is manageable.,Benchmark: The company cares about my wellbeing.,Benchmark: I feel comfortable taking time off.,Benchmark: I can talk openly about stress or mental health.,Benchmark: I feel treated fairly regardless of background.,Benchmark: Diverse perspectives are valued in my team.,Benchmark: I feel a sense of belonging.,Benchmark: The company fosters an inclusive environment.,Benchmark: The company adapts quickly to change.,Benchmark: I am comfortable with the pace of change.,Benchmark: Innovation is encouraged.,Benchmark: We can respond to future challenges.,Benchmark: Communication across departments is effective.,Benchmark: I know where to find needed information.,Benchmark: Feedback from employees is taken seriously.,Benchmark: Internal communications are clear and timely.,Benchmark: I am fairly compensated.,Benchmark: The benefits meet my needs.,Benchmark: My pay reflects my performance.,Benchmark: People here act with integrity.,Benchmark: The company lives its values.,survey_id
Production,Specialist/ Supervisor,Germany,6,5,6,6,6,5,6,6,5,6,7,7,6,6,6,6,7,5,6,7,6,6,4,4,6,5,6,5,5,6,6,6,6,4,5,4,5,5,5,5,7,6,4,5,6,5,5,5,4,5,4,6,5,5,5,4,5.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,D1CdqfXyaE
Marketing,Manager/ Senior Specialist,France,7,6,7,6,7,7,7,5,6,7,6,6,6,5,6,7,7,7,7,7,6,6,4,7,7,7,5,6,7,5,6,5,7,4,7,7,6,5,5,6,7,7,5,7,6,5,5,6,5,6,5,7,7,7,5,4,10.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,dbk2ylq64q
Production,Entry Level/ Manual,Czechia,6,5,6,5,7,5,6,5,6,4,7,6,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,5,5,5,5,6,6,5,5,5,6,3,6,6,6,5,6,6,6,5,5,5,5,4,6,4,6,6,5,4,2.6,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,gP0OAb4iCP
Production,Entry Level/ Manual,Czechia,5,3,5,4,5,4,5,4,4,4,5,4,5,5,6,6,5,6,6,6,4,5,5,5,5,4,5,5,4,5,4,6,6,3,4,5,4,3,6,4,6,5,4,5,6,4,4,5,3,5,4,4,4,5,5,5,8.3,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,IjEjc0YBcs
Production,Entry Level/ Manual,Germany,4,3,4,4,6,3,4,3,5,4,6,5,5,4,5,5,5,5,5,4,4,6,5,4,3,5,4,5,5,4,5,5,5,3,4,4,4,4,5,4,5,5,4,4,5,1,4,4,4,5,5,3,5,5,5,4,10.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,DLWIu8qVkj
R&D,Manager/ Senior Specialist,Germany,6,4,5,6,6,5,4,5,4,5,7,5,6,6,6,6,6,6,6,6,5,7,6,6,5,6,5,4,6,5,6,6,5,4,4,5,4,5,5,5,5,6,5,6,6,5,5,6,4,5,4,4,6,7,6,4,5.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,MACYApFHx1
Production,Entry Level/ Manual,Germany,6,5,5,6,6,5,6,5,5,6,7,6,6,4,6,6,6,6,5,6,5,6,6,5,6,6,4,5,6,6,6,4,6,6,5,5,5,4,6,6,5,6,5,5,6,6,4,5,5,5,4,6,4,6,6,4,13.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,ghsMA3mY5U
Production,Entry Level/ Manual,Czechia,6,6,6,6,7,6,4,6,6,6,7,6,6,6,6,7,6,6,7,6,6,7,6,5,7,6,5,5,6,6,6,6,6,4,6,5,7,6,6,6,7,6,6,5,5,5,5,5,5,4,5,5,6,6,6,3,11.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,RLTw6ywX1n
Production,Entry Level/ Manual,Germany,6,6,6,5,6,6,5,6,4,6,7,6,6,6,6,5,6,6,6,7,4,5,4,5,4,6,5,6,6,5,6,5,6,5,4,6,6,6,6,6,7,6,4,5,4,4,5,5,5,5,4,5,4,6,5,3,2.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,cBCGqHeKXK
Production,Entry Level/ Manual,Czechia,6,6,6,6,6,4,5,6,4,6,7,6,6,5,6,5,4,7,6,7,5,6,5,6,6,7,6,3,6,5,7,7,6,6,6,6,7,4,6,6,5,7,5,6,4,5,6,6,4,6,6,7,5,7,7,4,9.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,TX6dyftmMG
Production,Entry Level/ Manual,Czechia,6,6,5,7,7,5,6,4,4,5,7,6,6,5,6,6,6,4,6,7,6,7,6,6,6,5,5,6,4,4,6,6,6,4,6,6,7,5,6,5,6,5,3,5,6,5,4,6,6,6,5,6,5,7,6,3,8.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,asetVm6AM8
Finance,Specialist/ Supervisor,Germany,5,6,6,5,6,5,5,6,5,6,5,6,6,6,6,6,6,6,6,6,5,6,5,5,5,4,5,4,4,6,6,6,6,5,5,6,5,6,6,6,6,5,5,5,5,6,4,6,4,5,6,6,6,6,5,4,3.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,QBfHodfUVF
Production,Entry Level/ Manual,Czechia,5,6,6,6,7,5,6,6,5,4,6,6,6,5,4,6,6,6,6,7,5,7,5,5,6,6,5,6,6,6,6,5,5,4,5,5,6,3,5,6,5,6,3,5,6,6,5,5,6,5,5,5,6,7,4,4,0.8,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,P4R0LtoOPy
Sales,Entry Level/ Manual,Germany,4,5,5,4,5,5,4,4,4,4,6,6,5,4,3,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,6,3,4,6,5,3,4,4,5,5,5,6,4,5,3,5,4,5,5,5,5,5,3,4,1.4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,I6fyHciCc4
Production,Entry Level/ Manual,Germany,4,4,4,5,4,4,5,5,4,5,5,5,5,3,5,5,5,5,4,5,5,6,4,5,4,5,5,4,4,5,4,6,4,2,4,4,4,5,5,5,5,4,4,4,4,5,5,4,4,5,4,5,3,6,5,4,6.8,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,S2WjAE2VB3
Production,Specialist/ Supervisor,Czechia,7,6,6,6,7,6,6,6,3,6,7,6,5,6,5,6,6,6,7,6,5,6,5,6,5,5,5,6,6,6,5,7,6,5,5,4,7,5,5,5,7,7,5,6,6,5,5,4,5,3,6,6,6,7,5,4,3.2,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,NZNnT7STFW
R&D,Manager/ Senior Specialist,Germany,6,6,5,6,7,5,5,6,5,5,6,6,5,5,6,6,6,5,5,6,5,6,6,5,6,6,6,5,6,5,6,7,6,5,6,6,6,4,5,6,7,5,6,5,6,5,5,5,5,6,4,6,6,6,6,4,4.3,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,LBMJuXSeFF
Customer Service,Entry Level/ Manual,Germany,4,3,4,5,5,3,3,3,3,5,5,4,5,5,4,6,5,4,5,6,5,5,5,4,4,5,3,4,5,3,5,5,5,2,5,5,4,5,5,5,6,5,3,4,5,5,4,5,3,3,5,5,4,5,4,3,1.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,QhpxBMAjbJ
Production,Entry Level/ Manual,Germany,6,5,5,6,5,5,5,5,5,4,5,5,4,6,6,6,6,5,6,6,4,6,4,4,4,4,6,5,5,4,6,6,6,5,5,3,5,5,6,6,5,5,3,4,5,4,4,6,5,4,5,5,5,6,2,3,14.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,CZ9dYeEOUf
Production,Entry Level/ Manual,Czechia,6,5,6,6,6,6,5,6,5,5,6,6,6,6,6,6,6,6,5,6,5,4,5,6,4,6,6,6,6,6,6,5,6,5,6,4,5,4,6,4,6,4,4,5,4,6,4,5,5,6,5,3,4,6,4,4,13.4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,TMurnHQNU5
Sales,Specialist/ Supervisor,Netherlands,5,5,5,5,6,4,4,3,6,5,4,6,6,6,6,5,6,6,6,6,6,5,5,6,4,6,6,5,6,5,4,6,6,5,5,5,5,4,5,6,6,4,5,5,6,4,5,5,5,2,6,6,4,5,4,4,3.6,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,GB33BA4WpI
Production,Entry Level/ Manual,Germany,6,6,6,6,6,6,7,5,6,6,7,6,7,6,6,7,6,7,6,7,6,6,4,6,5,6,4,5,6,6,6,5,7,3,4,5,6,5,5,6,7,6,6,7,7,6,5,6,6,5,6,6,6,7,6,5,3.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,0hlPIKMrKO
Production,Director/ Head of,Germany,2,2,3,3,5,2,4,3,3,3,5,4,4,4,4,4,4,4,4,4,3,4,5,4,4,3,3,4,3,3,3,4,5,2,3,4,4,3,4,4,3,3,2,4,4,3,2,4,2,2,2,4,4,5,4,4,7.4,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,eBWhy4aQHW
Production,Entry Level/ Manual,Czechia,5,5,5,5,6,5,5,5,5,4,6,5,5,3,5,6,5,6,6,5,5,5,3,4,5,6,5,5,5,6,4,6,6,3,5,4,5,3,4,5,6,6,4,5,4,5,3,5,6,5,5,5,4,6,6,3,14.1,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,2WBk71b1qU
Sales,Entry Level/ Manual,Germany,5,6,5,6,7,7,6,6,3,6,6,7,6,5,6,6,5,6,6,7,6,6,4,5,4,6,4,5,6,6,6,6,6,5,6,5,6,5,5,3,6,5,5,5,6,4,6,5,4,5,4,6,5,7,6,4,0.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,G7ndmTi7El
Customer Service,Entry Level/ Manual,Germany,6,6,6,4,6,6,5,6,4,6,7,6,6,6,6,7,4,6,6,6,5,6,6,5,5,5,5,4,5,5,6,6,6,4,5,5,4,4,6,6,6,6,5,6,6,6,5,6,4,6,5,5,6,6,6,4,1.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,wsptujh391
R&D,Specialist/ Supervisor,Germany,6,5,5,6,7,4,5,5,6,5,7,6,6,5,6,6,6,6,6,7,6,5,6,6,5,6,5,6,6,4,6,6,5,4,5,3,6,5,6,6,5,6,5,6,5,6,5,5,4,5,5,5,6,7,6,5,4.8,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,NMnVUvjSi1
Finance,Entry Level/ Manual,Germany,6,6,6,5,7,5,5,6,5,4,4,6,6,6,5,7,6,7,7,6,6,7,4,5,4,6,5,3,6,5,5,6,6,6,6,4,5,3,5,7,7,5,6,6,6,5,4,6,5,4,5,4,6,6,5,4,2.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,IR8sQH4vta
HR,Manager/ Senior Specialist,Germany,6,7,6,7,6,6,6,6,5,7,7,7,7,6,5,7,7,7,7,7,5,7,5,5,7,7,6,6,5,6,7,6,7,5,5,6,4,6,6,7,6,5,4,6,6,6,5,6,5,5,5,5,4,7,6,3,5.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,v9J5xgM11X
R&D,Entry Level/ Manual,Germany,7,6,6,6,6,4,5,6,5,6,7,6,6,5,6,7,7,7,5,7,5,5,6,5,6,7,6,6,6,6,6,5,5,5,5,4,6,4,6,6,7,6,5,5,5,6,5,4,5,5,7,6,6,7,6,2,3.3,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,pceLxm8ggf
Production,Specialist/ Supervisor,Germany,5,6,6,5,6,6,5,4,6,5,7,5,6,6,5,6,6,6,5,6,4,6,5,5,4,6,5,6,6,4,5,5,6,4,5,5,5,6,6,4,6,6,4,6,5,5,4,4,5,4,5,4,4,6,6,3,9.7,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,TB8MSzjXRp
HR,Specialist/ Supervisor,Germany,6,6,7,7,7,5,6,6,7,6,7,5,6,4,5,7,7,7,6,7,6,7,7,7,6,7,5,6,6,7,7,6,6,5,4,7,6,7,7,6,7,6,5,7,6,5,5,6,5,5,6,7,5,7,6,4,2.9,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,Kn1EbZT5aq
Production,Entry Level/ Manual,Czechia,7,7,6,6,7,7,6,6,5,7,7,6,6,7,5,6,7,6,7,7,4,5,6,6,6,6,5,4,4,6,6,7,7,6,5,5,6,4,5,7,7,7,6,6,7,6,3,5,7,6,4,6,5,7,6,4,5.5,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,wIfIkmSzH7
Production,Entry Level/ Manual,Czechia,5,5,5,5,6,4,6,5,5,5,7,4,6,5,4,6,4,5,6,4,6,5,5,5,5,6,5,5,6,4,6,6,6,5,5,6,5,5,5,6,6,4,5,5,6,5,5,6,3,5,6,6,6,5,5,4,10,NA,Current,5.8,5.6,5.4,5.5,5.6,5.1,5,5.2,4.8,5,6,5.3,5.4,5.5,5.6,5.7,5.8,5.5,5.6,5.7,5.6,6,5.5,5.6,5.4,5.3,4.9,5.2,5.4,5,5.4,5.3,5.5,5.3,5.1,5.2,5.8,5,5.6,5.5,5.5,5.4,5,5.2,5.3,5.4,4.8,5.3,4.9,5.2,4.8,5.2,4.6,5.6,5.3,zAIKdNUjux
